Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745222655,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745222656,100,,Aggregated,0.000000,0.000000,250,720,820,850,910,940,960,980,980,980,980,61,0,250.0,446.288532820305,109.90158299682662,978.2479160057846,365007.5081967213
1745222657,200,,Aggregated,0.000000,0.000000,840,930,990,1000,1200,1300,1400,1800,1900,1900,1900,151,0,840.0,688.7861749607166,31.54704099870287,1855.8091250015423,378504.6490066225
1745222658,300,,Aggregated,38.000000,0.000000,860,980,1100,1200,1400,1500,1600,1800,1900,1900,1900,269,0,860.0,758.2793945278263,28.847290988778695,1855.8091250015423,381086.6840148699
1745222659,400,,Aggregated,60.000000,0.000000,870,1000,1100,1200,1400,1500,1600,1800,1900,1900,1900,385,0,870.0,771.3146641796044,28.637542010983452,1882.7257079828996,382111.34545454546
1745222660,500,,Aggregated,72.333333,0.000000,880,1000,1200,1300,1400,1500,1600,1900,1900,1900,1900,535,0,880.0,780.4659046769625,27.1685830084607,1882.7257079828996,382051.8093457944
1745222661,600,,Aggregated,86.250000,0.000000,890,1100,1300,1400,1500,1600,1900,2100,2700,2700,2700,689,0,890.0,812.5780261323093,27.1685830084607,2650.751457986189,381382.1480406386
1745222662,700,,Aggregated,93.400000,0.000000,910,1100,1400,1400,1600,1900,2200,2400,4100,4100,4100,869,0,910.0,852.2964614504167,27.1685830084607,4122.819790994981,380765.1852704258
1745222663,800,,Aggregated,102.166667,0.000000,910,1200,1400,1500,1800,2000,2500,2700,4100,5700,5700,1055,1,910.0,882.0253437538069,15.824791975319386,5692.454000003636,379148.36682464456
1745222664,900,,Aggregated,112.428571,0.000000,810,1200,1400,1600,2000,2300,2600,2900,4100,5700,5700,1392,206,810.0,869.8686672382216,13.920792000135407,5692.454000003636,326750.6939655172
1745222665,0,,Aggregated,121.500000,0.000000,420,1200,1500,1700,2100,2500,2800,3200,4200,5700,5700,1748,449,410.0,858.8462830941573,13.225250004325062,5692.454000003636,288024.37986270024
